index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Hourly,Employer provided,Min Salary,Max Salary,Avg Salary,Company_text,State,Age,Python,Tableau,Excel,Power BI,SAS,SQL,SSIS
30,"ANALYST, DATA",$53K - $106K (Employer est.),"Identify new sources of data and methods to improve data collection, analysis, and reporting. Collect customer requirements, design reports to meet data analysis needs.
ESSENTIAL JOB FUNCTIONS / PRINCIPAL ACCOUNTABILITIES:
Collect, analyze, assess potential risks, and report data to meet customer needs.
Use automated tools to extract data from primary and secondary sources.
Analyze existing tools and databases and provide software solution recommendations.
Train end-users on new reports and dashboards.
Provide technical expertise in data storage structures, data mining, and data cleansing.",3.2,"McLane Company
3.2","Temple, TX",10000+ Employees,1894,Subsidiary or Business Segment,Logistics & Supply Chain,Transportation & Logistics,$10+ billion (USD),0,0,53,106,79.5,McLane Company, TX,128,0,0,0,0,0,0,0
32,Data Analyst,$53K - $106K (Employer est.),"Our People & Places Solutions business – reinforces our drive to improve the lives of people everywhere and epitomizes the ""why"" of what we do – the tremendous positive impact and value our solutions bring to our communities and society as a whole. From facilities delivering life-saving therapies and ensuring clean water to enabling the connection of people through all modes of transportation and providing access to technology – we're integrating a multitude of these solution elements to build the smart environments of tomorrow.

Start your Jacobs career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed – today and into tomorrow.


Your Impact:


Jacobs is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, religion, creed, color, national origin, ancestry, sex (including pregnancy, childbirth, breastfeeding, or medical conditions related to pregnancy, childbirth, or breastfeeding), age, medical condition, marital or domestic partner status, sexual orientation, gender, gender identity, gender expression and transgender status, mental disability or physical disability, genetic information, military or veteran status, citizenship, low-income status or any other status or characteristic protected by applicable law. Learn more about your rights under Federal EEO laws and supplemental language.",3.9,"Jacobs
3.9","Redding, CA",10000+ Employees,1947,Company - Public,Architectural & Engineering Services,Business Services,$10+ billion (USD),0,0,53,106,79.5,Jacobs, CA,75,0,0,0,0,0,0,0
33,Data Analyst,$53K - $106K (Employer est.),"L'Oréal USA
Title: Data Analyst
Location: Berkeley Heights, NJ
Department: le Care (Consumer Care)
Overview:
The data analyst, le CARE L’Oreal USA, is responsible for data query, data QA, data integration, ad hoc data analysis, and advanced BI dashboard/report building on large volume of consumer contact data and managing projects.

We are an Equal Opportunity Employer and take pride in a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, sexual orientation, national origin, age, marital or veteran status, medical condition or disability, or any other legally protected status. If you require a reasonable accommodation to complete an application for a recognized disability under applicable law, please email USApplicationAccommodation@support.lorealusa.com. Please note this email will only respond to specific requests for assistance completing the application as a request for accommodation for a disability. All others will not be considered.",3.9,"L'Oreal
3.9","Berkeley Heights, NJ",10000+ Employees,1909,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),0,0,53,106,79.5,L'Oreal, NJ,113,0,0,0,0,0,0,1
38,Data Analyst,$53K - $106K (Employer est.),"Job Description :
Data analysts seek to describe the current state of reality for the organizations by translating data into information accessible to the business. They collect, analyze, and report on data to meet business needs. The role includes identifying new sources of data and methods to improve data collection, analysis, and reporting.
Develop and maintain production quality data pipelines. Build the infrastructure required for extraction, transformation and loading of data from a wide variety of data sources ranging from SQL to “big data” technologies.",3.1,"ScribeAmerica
3.1","Fort Lauderdale, FL",10000+ Employees,2004,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),0,0,53,106,79.5,ScribeAmerica, FL,18,0,0,0,0,0,1,0
41,Data Analyst,$53K - $106K (Employer est.),"At HSBC, the health and well-being of our employees remains of utmost importance. Many of our roles are permitted to work from home (in states in which HSBC is licensed to operate) until further notice. Upon resumption of normal operations, this role may be performed at our Jersey City, New Jersey office.

US Wholesale CDAO function was initially established in December 2020 as part of a HSBC wide program to improve the management of data across the Wholesale organization. As the function has continued to evolve, the team is looking to build out Data Analysis & Remediation capabilities.
About Us",3.8,"HSBC
3.8","Jersey City, NJ",10000+ Employees,1865,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),0,0,53,106,79.5,HSBC, NJ,157,0,0,0,0,0,0,0
42,"Analyst, Revenue Data Analytics",$53K - $106K (Employer est.),"Who we are...
AvantStay delivers exceptional, unique stays for group travelers. The company has built a tech-enabled millennial hospitality brand to be the new standard for group experience. We are venture funded and growing rapidly in the explosive $100+ billion dollar STR industry.

What we are looking for…
AvantStay is looking for an Analyst, Revenue Data Analytics to lead our ongoing data collection, visualization, and analysis efforts on our Revenue Management, Finance, and stakeholder teams. These efforts are key to enabling the optimization of revenue and dynamic pricing practices, underwriting and other financial and analytical actions which are central to our continued success as we grow into new markets and increase the number of properties in our portfolio each month.

Ideal candidate is a technical, data-driven Analyst who is an expert at accessing data via our data warehouse and APIs, developing dashboards and analysis and leveraging your data science skills to help provide insights and improve our decision-making strategies. You thrive in a high growth environment and have a high degree of operational rigor. You thrive working cross-functionally and can work with a high degree of autonomy, flexibility and ability to think on your feet.",4.6,"AvantStay
4.6",Remote,201 to 500 Employees,2017,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,0,53,106,79.5,AvantStay,Remote,5,0,0,0,0,0,0,0
43,Data Analyst,$53K - $106K (Employer est.),"Product Analyst
We have an outstanding opportunity for a Product Analyst to contribute in a fast paced, growing organization. The position includes quantitative data analysis for the purpose of determining profitable pricing opportunities and a variety of projects to enhance the company’s product offering.
American Freedom Insurance Company, a financially strong “A+” rated “Superior” by A.M. Best (the most highly respected insurance rating organization) is seeking a responsible and hard-working individual to join our team. We are a mid-sized, profitable and expanding nonstandard automobile insurance company doing business in Illinois, Indiana, Pennsylvania and Tennessee (Texas coming soon). This position is located in Mount Prospect, IL, a suburb of Chicago.
Qualifications:",4.5,"American Freedom Insurance Company
4.5","Mount Prospect, IL",51 to 200 Employees,1997,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,0,53,106,79.5,American Freedom Insurance Company, IL,25,0,0,0,0,0,0,0
45,Data Analyst,$53K - $106K (Employer est.),"Data Analyst
<br>
Job Description
<br>
Data Analyst - Apartments.com - Atlanta, GA
Overview:
Apartments.com is the leading online apartment listing website, connecting renters to more than 1mm rentals across the country. Powered by CoStar, the Apartments.com network of home rental sites includes Apartments.com, ApartmentFinder.com, Apartamentos.com, ForRent.com, ApartmentHomeLiving.com, and WestsideRentals.com. These unique rental sites offer advertisers expansive exposure for their available rental listings of all kinds.",2.8,"CoStar Group
2.8","Atlanta, GA",1001 to 5000 Employees,1987,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),0,0,53,106,79.5,CoStar Group, GA,35,0,0,0,0,0,0,0
46,Data Analyst,$53K - $106K (Employer est.),"General Responsibilities:
Overview:
Hertz and the Value Added Services Sales Team is seeking a talented individual with passion for real-world problem solving. The analyst will partner with various functions within the company (Operations, Value Added Services, Compensation, etc…) and develop advanced tools and resources to support overall sales planning and analytics. The analyst will be working with large sets of structured and unstructured data to perform analysis, develop tools, and provide actionable insights. This is a remote position!

What you’ll be doing:
Develop tools for the field for sales metric tracking.



:",3.0,"Hertz
3.0","Estero, FL",10000+ Employees,1918,Company - Public,Car Rental,Travel & Tourism,$5 to $10 billion (USD),0,0,53,106,79.5,Hertz, FL,104,0,0,0,0,0,0,0
47,Senior Data Analyst,$53K - $106K (Employer est.),"The Enterprise and Risk Compliance Technology team is looking for a Sr. Data Analyst to drive our internal customer experience strategy forward in Governance Risk and Compliance (GRC) area by consistently innovating and problem-solving. The ideal candidate is passionate about the internal partners experience journey, highly motivated, intellectually curious, analytical, and possesses an entrepreneurial mindset.

Role
In this role, you will demonstrate:
Strong ability working alongside business partners to gather requirements.
Strong ability in collection, interpretation, and analysis of data.
Reporting the results to business partners and team.
All About You

Corporate Security Responsibility
Every person working for, or on behalf of, Mastercard is responsible for information security. All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and therefore, it is expected that the successful candidate for this position must:

In the US, Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law. If you require accommodations or assistance to complete the online application process, please contact reasonable_accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly.",4.2,"MasterCard
4.2","O'Fallon, MO",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD),0,0,53,106,79.5,MasterCard, MO,56,0,0,0,0,0,0,1
48,Data Analyst,$53K - $106K (Employer est.),"Why Glassdoor?
Our mission is to help people everywhere find a job and company they love. In the process, we're transforming the workplace experience through the power of transparency and further cementing ourselves as the worldwide leader in employer branding and insights. By choosing a career at Glassdoor, you'll be directly contributing toward our vision for a world where transparency empowers the workforce and motivates companies to become better employers.
Please note: This role may be open to remote hiring. Our office locations are in San Francisco, CA; Chicago, IL; Uniontown, OH; London, UK; and Dublin, Ireland.
The Role
We're looking for a dedicated and inquisitive Data Analyst to help us with data projects. We are responsible for building and maintaining a large data set that powers integration points between us and partnered companies. This individual will be critical in helping to build and maintain coverage, identify data quality issues, reconcile and resolve data validation issues, and respond to internal data mapping requests from other customers, staff and partners.",4.0,"Glassdoor
4.0","San Francisco, CA",501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,53,106,79.5,Glassdoor, CA,15,0,0,0,0,0,0,0
52,Data Analyst,$53K - $106K (Employer est.),"Apply Here: https://secure.onehcm.com/ta/SCCCI.jobs?ShowJob=419619585&TrackId=Indeed
Position Summary:
The Data Analyst is responsible for organizing data from our EHR systems and providing actionable insights that helps SCCC leadership make business decisions and comply with reporting requirements. The Data Analyst works to make sure that the data is collected properly, observing any legal or ethical standards are met, and reported in accordance with applicable requirements. The position requires cross functional collaboration with all departments.
The Data Analyst must demonstrate regard for the rights of all patients and provides respectful and considerate care focused on the patient's individual needs. Data Analyst will provide a safe and confidential environment for patients, families, and personnel.",4.2,"Summit Community Care Clinic
4.2","Frisco, CO",51 to 200 Employees,1993,Nonprofit Organization,Social Assistance,Non-Profit,Unknown / Non-Applicable,0,0,53,106,79.5,Summit Community Care Clinic, CO,29,0,0,0,0,0,0,0
53,Data Analyst,$53K - $106K (Employer est.),"Purpose of the Job:
The Data Analyst is responsible for creating and maintaining all aspects of data within the Materials Management (MM) Module of SAP to support & facilitate the needs of all EIS locations. This includes, but is not limited to: Material Master Records, Vendor Master Records, Customer Master Records, Sales and Purchasing Master Records.


Essential Functions:
Create new material and vendor numbers in SAP using specific terms and formatting standards



pm21
#LI2021",3.3,"EIS
3.3","Atlanta, GA",51 to 200 Employees,1997,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),0,0,53,106,79.5,EIS, GA,25,0,0,0,0,0,0,0
54,Analytics Data Analyst,$53K - $106K (Employer est.),"Brand: DHL
Address: 360 Westar Blvd Westerville, OH - 43082
Property Description: 9686 - Westerville OH
Property Number: 9686",3.9,"DHL | Supply Chain
3.9","Westerville, OH",10000+ Employees,1969,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$10+ billion (USD),0,0,53,106,79.5,DHL | Supply Chain, OH,53,0,0,0,0,0,0,0
57,Data Acquisition Analyst,$53K - $106K (Employer est.),"Company Description

Experian is the world’s leading global information services company, unlocking the power of data to create more opportunities for consumers, businesses, and society. For five years in a row, we have been named in the Top 100 “World’s Most Innovative Companies” by Forbes Magazine. Fueled by best-in-class data and innovative technology we help businesses and consumers make smarter decisions and create a better tomorrow.
Experian Automotive is the global powerhouse in data intelligence and is transforming the way the automotive industry uses auto data to drive insights. This unmatched level of intelligence enables our clients to see trends and take action before the competition, giving them a stronger advantage to make decisions that position them to win in a crowded marketplace. Experian Automotive has a strong track record of growth, innovation, and industry commitment to deliver the next generation of information services to automotive businesses. Find out today how Experian Automotive data and insights can help business grow, http://www.experianautomotive.com",4.5,"Experian
4.5","Schaumburg, IL",10000+ Employees,1980,Company - Public,Financial Analytics & Research,Finance,$2 to $5 billion (USD),0,0,53,106,79.5,Experian, IL,42,0,0,0,0,0,0,0
59,Data Analyst,$53K - $106K (Employer est.),"Proficiency with Microsoft Excel.
Experience in Power BI, Tableau or Splunk is preferred.
Experience in language/programming: SQL is helpful
Knowledge of SharePoint solutions is very helpful.
Knowledge of R, Shiny, Python is helpful
Job Type: Full-time
Pay: $46,957.00 - $111,404.00 per year
Schedule:
8 hour shift",5.0,"Integration Developer Network LLC
5.0",Remote,51 to 200 Employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),0,0,53,106,79.5,Integration Developer Network LLC,Remote,11,1,1,1,1,0,1,0
60,"Data Entry, Senior Analyst",$50K - $89K (Glassdoor est.),"Position Summary:

We are looking for a professional to support the Account On/Offboarding Processing Operations Team who support Deloitte's largest clients by ensuring practitioners meet our client's contractual obligations and are ready to serve.

Work you'll do:

You'll be responsible for managing client-specific data entry requirements, managing data loss protection workflows, effective handling of PII during data entry into client and/or Third Party systems. You will work within a team of global professionals and support a portfolio of clients, understanding each client's unique requirements.

Account Initial Setup & Ongoing Maintenance

Task Handling

Quality Control & Assurance

Team Development Support



Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future

EA_CMG_ ExpHire

EA_ExpHire",4.0,"Deloitte
4.0","Boise, ID",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),0,0,50,89,69.5,Deloitte, ID,172,0,0,0,0,0,0,0
63,Data Analyst,$50K - $89K (Glassdoor est.),"L'Oréal USA
Title: Data Analyst
Location: Berkeley Heights, NJ
Department: le Care (Consumer Care)
Overview:
The data analyst, le CARE L’Oreal USA, is responsible for data query, data QA, data integration, ad hoc data analysis, and advanced BI dashboard/report building on large volume of consumer contact data and managing projects.

We are an Equal Opportunity Employer and take pride in a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, sexual orientation, national origin, age, marital or veteran status, medical condition or disability, or any other legally protected status. If you require a reasonable accommodation to complete an application for a recognized disability under applicable law, please email USApplicationAccommodation@support.lorealusa.com. Please note this email will only respond to specific requests for assistance completing the application as a request for accommodation for a disability. All others will not be considered.",3.9,"L'Oreal
3.9","Berkeley Heights, NJ",10000+ Employees,1909,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),0,0,50,89,69.5,L'Oreal, NJ,113,0,0,0,0,0,0,1
64,Analytics Data Analyst,$50K - $89K (Glassdoor est.),"Brand: DHL
Address: 360 Westar Blvd Westerville, OH - 43082
Property Description: 9686 - Westerville OH
Property Number: 9686",3.9,"DHL | Supply Chain
3.9","Westerville, OH",10000+ Employees,1969,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$10+ billion (USD),0,0,50,89,69.5,DHL | Supply Chain, OH,53,0,0,0,0,0,0,0
69,Revenue Reporting Data Analyst,$50K - $89K (Glassdoor est.),"This role may also be located in our Playa Vista, CA campus.
Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Chicago, IL, USA; Atlanta, GA, USA; Los Angeles, CA, USA.
Minimum qualifications:
Bachelor's degree in accounting, finance, IT, or equivalent practical experience.
4 years of experience in data analysis and reporting experience using SQL.

Preferred qualifications:
Experience in managing operational process improvement.
Experience working in teams committing code and working with version control.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",4.5,"Google
4.5","Los Angeles, CA",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),0,0,50,89,69.5,Google, CA,24,0,0,0,0,0,1,0
71,Data Analyst,$50K - $89K (Glassdoor est.),"Travel Required: None
Public Trust: None
Requisition Type: Regular
Contributes to completion of milestones associated with specific projects.
Analyzes organizational data and conducts statistical analysis.
Applies mathematical calculations to recommend solutions to technical problems of moderate scope and complexity.
Models and evaluates the potential impact of data changes.
Performs additional duties as assigned.

We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.",3.9,"General Dynamics Information Technology
3.9",Remote,10000+ Employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$2 to $5 billion (USD),0,0,50,89,69.5,General Dynamics Information Technology,Remote,26,0,0,0,0,0,0,0
72,Data Analyst,$50K - $89K (Glassdoor est.),"At HSBC, the health and well-being of our employees remains of utmost importance. Many of our roles are permitted to work from home (in states in which HSBC is licensed to operate) until further notice. Upon resumption of normal operations, this role may be performed at our Jersey City, New Jersey office.

US Wholesale CDAO function was initially established in December 2020 as part of a HSBC wide program to improve the management of data across the Wholesale organization. As the function has continued to evolve, the team is looking to build out Data Analysis & Remediation capabilities.
About Us",3.8,"HSBC
3.8","Jersey City, NJ",10000+ Employees,1865,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),0,0,50,89,69.5,HSBC, NJ,157,0,0,0,0,0,0,0
75,"ANALYST, DATA",$50K - $89K (Glassdoor est.),"Identify new sources of data and methods to improve data collection, analysis, and reporting. Collect customer requirements, design reports to meet data analysis needs.
ESSENTIAL JOB FUNCTIONS / PRINCIPAL ACCOUNTABILITIES:
Collect, analyze, assess potential risks, and report data to meet customer needs.
Use automated tools to extract data from primary and secondary sources.
Analyze existing tools and databases and provide software solution recommendations.
Troubleshoot the reporting database environment and reports.
Train end-users on new reports and dashboards.
Provide technical expertise in data storage structures, data mining, and data cleansing.",3.2,"McLane Company
3.2","Temple, TX",10000+ Employees,1894,Subsidiary or Business Segment,Logistics & Supply Chain,Transportation & Logistics,$10+ billion (USD),0,0,50,89,69.5,McLane Company, TX,128,0,0,0,0,0,0,0
78,Data Analyst,$50K - $89K (Glassdoor est.),"Hello,
We are Seeking Data Analyst for one of our clients. This will be a remote position based on Seattle, WA
Position: Data Analyst
Location: Seattle, WA
Job Length: Contract
Position Type: W2
Qualifications:",4.4,"Princeton IT Services
4.4",Remote,1 to 50 Employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),0,0,50,89,69.5,Princeton IT Services,Remote,14,0,0,0,0,0,0,0
79,"Business Analyst, Creator Business Analysis",$50K - $89K (Glassdoor est.),"Content
Data Science
We are looking for a Business Analyst for our Creator Business Analysis team. You will help run our emerging businesses related to content promotion and creator monetization. Our customers are music labels and the creators that power them. Your work will help influence the priorities and projects undertaken by our product, marketing, and sales teams. Above all, your work will impact the way listeners experience music and how creators monetize their craft.
Location
New York or Remote Americas
Job type
Permanent",4.2,"Spotify
4.2","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,50,89,69.5,Spotify, NY,16,0,0,0,0,0,0,0
